peak_time_utc,peak_flow_cms,peak_probability,site_no
2023-09-25 15:00:00,476.0,0.9877145383782328,01203805
2023-09-29 15:45:00,3560.0,0.9684347864016611,01203805
2023-10-04 11:30:00,118.0,0.5889781389982555,01203805
2023-10-07 18:15:00,809.0,0.9638677950991449,01203805
2023-10-09 20:30:00,98.9,0.5092372421703214,01203805
2023-10-21 09:45:00,212.0,0.8796993967803735,01203805
2023-10-30 17:30:00,102.0,0.73460774913824,01203805
2023-11-22 08:15:00,144.0,0.7025347196425719,01203805
2023-11-27 05:00:00,148.0,0.6235284118539425,01203805
2023-12-03 18:00:00,124.0,0.7457861404191176,01203805
2023-12-11 04:00:00,543.0,0.981951342551183,01203805
2023-12-18 09:00:00,2340.0,0.9786912175693316,01203805
2023-12-28 07:15:00,1510.0,0.9886469779561619,01203805
2024-01-10 02:45:00,3770.0,0.9738013078436683,01203805
2024-01-13 07:45:00,791.0,0.9731637244686978,01203805
2024-01-16 16:15:00,152.0,0.5619328280194733,01203805
2024-01-25 05:45:00,319.0,0.9871781216545722,01203805
2024-01-28 16:45:00,377.0,0.9921682538801422,01203805
2024-02-02 12:00:00,118.0,0.5107244114735895,01203805
2024-02-23 20:15:00,102.0,0.6946568211797196,01203805
2024-02-28 13:00:00,250.0,0.925598049881627,01203805
2024-03-02 21:45:00,273.0,0.8921933464455603,01203805
2024-03-07 01:00:00,1190.0,0.973612104936798,01203805
2024-03-10 03:15:00,1070.0,0.9735724771281475,01203805
2024-03-13 14:45:00,134.0,0.6104000997009734,01203805
2024-03-23 18:30:00,1550.0,0.9837340396639928,01203805
2024-03-28 08:00:00,191.0,0.7335307109790987,01203805
2024-04-03 21:45:00,439.0,0.9925941220510144,01203805
2024-04-07 11:15:00,152.0,0.7060470689403328,01203805
2024-04-12 08:00:00,964.0,0.97358308194294,01203805
2024-04-14 20:45:00,163.0,0.7833479901874942,01203805
2024-04-18 11:45:00,182.0,0.8075765024998804,01203805
2024-04-20 12:15:00,118.0,0.6902941615662967,01203805
2024-05-06 01:00:00,117.0,0.7657975539728754,01203805
2024-05-08 10:45:00,131.0,0.6714505250818464,01203805
2024-05-10 11:00:00,83.7,0.598056906132339,01203805
2024-05-16 07:45:00,111.0,0.8007453445168394,01203805
2024-05-27 21:15:00,96.9,0.7712503533656782,01203805
2024-05-30 09:15:00,113.0,0.7664278294135441,01203805
2024-06-30 15:45:00,1720.0,0.9839652497066622,01203805
2024-07-05 23:15:00,2120.0,0.9889102145723723,01203805
2024-07-18 00:30:00,156.0,0.5667143123861529,01203805
2024-08-10 05:30:00,291.0,0.8876993278237175,01203805
2024-08-18 16:30:00,4120.0,0.9789878719648344,01203805
2024-11-22 06:00:00,139.0,0.68753224716398,01203805
2024-12-11 23:15:00,283.0,0.9121420153561293,01203805
2024-12-19 04:45:00,106.0,0.7261458463027576,01203805
2025-01-01 04:00:00,281.0,0.8872895060583177,01203805
2025-02-01 01:45:00,84.4,0.6231481198047637,01203805
2025-02-25 19:00:00,90.0,0.5827195811529655,01203805
2025-02-27 20:30:00,117.0,0.7079146692820377,01203805
